"TXG","10x Genomics, Inc.","187","$20.12B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",""
"YI","111, Inc.","11.9","$980.08M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",""
"YQ","17 Education & Technology Group Inc.","16.9","$3.17B","2020","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/yq",""
"TURN","180 Degree Capital Corp.","6.61","$68.57M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",""
"ATNF","180 Life Sciences Corp.","3.88","$94.67M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnf",""
"FLWS","1-800-FLOWERS.COM, Inc.","31.67","$2.06B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",""
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.77","$46.6M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",""
"SRCE","1st Source Corporation","42.78","$1.09B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",""
"VNET","21Vianet Group, Inc.","41.17","$5.47B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",""
"QFIN","360 DigiTech, Inc.","15.99","$2.43B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",""
"KRKR","36Kr Holdings Inc.","5.3","$198.72M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",""
"FDMT","4D Molecular Therapeutics, Inc.","47.42","$1.26B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/fdmt",""
"FVAM","5:01 Acquisition Corp.","10.63","$116.09M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/fvam",""
"ETNB","89bio, Inc.","20.73","$412.09M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",""
"EGHT","8x8 Inc","37.5","$3.99B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",""
"MASS","908 Devices Inc.","65.45","$1.71B","2020","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/mass",""
"JFU","9F Inc.","1.52","$296.69M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",""
"AAON","AAON, Inc.","72.74","$3.8B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",""
"ABCL","AbCellera Biologics Inc.","50.5","$13.59B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abcl",""
"ABEO","Abeona Therapeutics Inc.","2.12","$208.88M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",""
"ACIU","AC Immune SA","6.33","$454.12M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",""
"ACTG","Acacia Research Corporation","5.74","$282.86M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",""
"ASO","Academy Sports and Outdoors, Inc.","22.46","$2.02B","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aso",""
"ACHC","Acadia Healthcare Company, Inc.","52.01","$4.63B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",""
"ACAD","ACADIA Pharmaceuticals Inc.","52.83","$8.4B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",""
"AXDX","Accelerate Diagnostics, Inc.","8.78","$500.72M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",""
"ACCD","Accolade, Inc.","59.09","$3.27B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",""
"ARAY","Accuray Incorporated","5.11","$466.41M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",""
"ACHV","Achieve Life Sciences, Inc. ","11.78","$71.74M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",""
"ACIW","ACI Worldwide, Inc.","40.3","$4.71B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",""
"ACRS","Aclaris Therapeutics, Inc.","18.22","$781.99M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",""
"ACMR","ACM Research, Inc.","97.6","$1.8B","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",""
"ACNB","ACNB Corporation","27.17","$236.47M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",""
"AFIB","Acutus Medical, Inc.","25.95","$722.61M","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/afib",""
"AHCO","AdaptHealth Corp. ","38","$3.68B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",""
"ADAP","Adaptimmune Therapeutics plc","5.6","$866.76M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",""
"ADPT","Adaptive Biotechnologies Corporation","67.74","$9.26B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",""
"ADXN","Addex Therapeutics Ltd","12.12","$68.31M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",""
"ADUS","Addus HomeCare Corporation","127.8","$2.02B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",""
"ADIL","Adial Pharmaceuticals, Inc","2.22","$31.95M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",""
"ACET","Adicet Bio, Inc.","14.54","$284.84M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acet",""
